SubID,subject,correct,total_trials,trial_type,expected,condition,condition_non_rec,probe_type,sub_idx
6576573,1,2,6,2,-0.5,1,2,-0.5,1
6576573,1,6,12,2,0.5,1,2,-0.5,1
6576573,1,3,9,1,-0.5,1,2,0.5,1
6576573,1,4,9,1,0.5,1,2,0.5,1
6576573,1,3,6,2,-0.5,1,2,0.5,1
6576573,1,9,12,2,0.5,1,2,0.5,1
6576620,2,1,6,2,-0.5,1,2,-0.5,2
6576620,2,5,12,2,0.5,1,2,-0.5,2
6576620,2,5,9,1,-0.5,1,2,0.5,2
6576620,2,4,9,1,0.5,1,2,0.5,2
6576620,2,4,6,2,-0.5,1,2,0.5,2
6576620,2,8,12,2,0.5,1,2,0.5,2
6576601,3,5,6,2,-0.5,1,2,-0.5,3
6576601,3,6,12,2,0.5,1,2,-0.5,3
6576601,3,1,9,1,-0.5,1,2,0.5,3
6576601,3,6,9,1,0.5,1,2,0.5,3
6576601,3,6,6,2,-0.5,1,2,0.5,3
6576601,3,4,12,2,0.5,1,2,0.5,3
6577305,4,3,6,2,-0.5,1,2,-0.5,4
6577305,4,10,12,2,0.5,1,2,-0.5,4
6577305,4,9,9,1,-0.5,1,2,0.5,4
6577305,4,9,9,1,0.5,1,2,0.5,4
6577305,4,0,6,2,-0.5,1,2,0.5,4
6577305,4,5,12,2,0.5,1,2,0.5,4
6577347,5,6,6,2,-0.5,1,2,-0.5,5
6577347,5,6,12,2,0.5,1,2,-0.5,5
6577347,5,2,9,1,-0.5,1,2,0.5,5
6577347,5,4,9,1,0.5,1,2,0.5,5
6577347,5,3,6,2,-0.5,1,2,0.5,5
6577347,5,6,12,2,0.5,1,2,0.5,5
6577318,6,1,6,2,-0.5,1,2,-0.5,6
6577318,6,8,12,2,0.5,1,2,-0.5,6
6577318,6,4,9,1,-0.5,1,2,0.5,6
6577318,6,5,9,1,0.5,1,2,0.5,6
6577318,6,3,6,2,-0.5,1,2,0.5,6
