SubID,subject,correct,total_trials,trial_type,condition,condition_non_rec,probe_type,sub_idx
6576573,1,0,1,2,1,2,-0.5,1
6576573,1,1,1,1,1,2,0.5,1
6576573,1,1,1,2,1,2,0.5,1
6576620,2,0,1,2,1,2,-0.5,2
6576620,2,0,1,1,1,2,0.5,2
6576620,2,1,1,2,1,2,0.5,2
6576601,3,0,1,2,1,2,-0.5,3
6576601,3,0,1,1,1,2,0.5,3
6576601,3,1,1,2,1,2,0.5,3
6577305,4,0,1,2,1,2,-0.5,4
6577305,4,1,1,1,1,2,0.5,4
6577305,4,0,1,2,1,2,0.5,4
6577347,5,1,1,2,1,2,-0.5,5
6577347,5,0,1,1,1,2,0.5,5
6577347,5,0,1,2,1,2,0.5,5
6577318,6,0,1,2,1,2,-0.5,6
6577318,6,1,1,1,1,2,0.5,6
6577318,6,1,1,2,1,2,0.5,6
6577341,7,1,1,2,1,2,-0.5,7
6577341,7,1,1,1,1,2,0.5,7
6577341,7,0,1,2,1,2,0.5,7
6577931,8,1,1,2,1,2,-0.5,8
6577931,8,0,1,1,1,2,0.5,8
6577931,8,0,1,2,1,2,0.5,8
6581413,9,0,1,2,1,2,-0.5,9
6581413,9,1,1,1,1,2,0.5,9
6581413,9,0,1,2,1,2,0.5,9
6581458,10,1,1,2,1,2,-0.5,10
6581458,10,0,1,1,1,2,0.5,10
6581458,10,0,1,2,1,2,0.5,10
6581420,11,1,1,2,1,2,-0.5,11
6581420,11,0,1,1,1,2,0.5,11
6581420,11,1,1,2,1,2,0.5,11
6581460,12,0,1,2,1,2,-0.5,12
6581460,12,1,1,1,1,2,0.5,12
6581460,12,1,1,2,1,2,0.5,12
6582994,13,0,1,2,1,2,-0.5,13
6582994,13,0,1,1,1,2,0.5,13
6582994,13,0,1,2,1,2,0.5,13
6583086,14,1,1,2,1,2,-0.5,14
6583086,14,0,1,1,1,2,0.5,14
6583086,14,0,1,2,1,2,0.5,14
6583665,15,0,1,2,1,2,-0.5,15
6583665,15,1,1,1,1,2,0.5,15
