SubID,subject,correct,total_trials,trial_type,condition,trial_type_non_rec,condition_non_rec,probe_type,sub_idx
6576573,1,12,24,-0.5,1,1,2,-0.5,1
6576573,1,13,24,0.5,1,2,2,-0.5,1
6576573,1,10,24,-0.5,1,1,2,0.5,1
6576573,1,11,22,0.5,1,2,2,0.5,1
6576620,2,12,24,-0.5,1,1,2,-0.5,2
6576620,2,11,22,0.5,1,2,2,-0.5,2
6576620,2,11,22,-0.5,1,1,2,0.5,2
6576620,2,12,22,0.5,1,2,2,0.5,2
6576601,3,13,24,-0.5,1,1,2,-0.5,3
6576601,3,11,22,0.5,1,2,2,-0.5,3
6576601,3,7,21,-0.5,1,1,2,0.5,3
6576601,3,11,21,0.5,1,2,2,0.5,3
6577305,4,16,24,-0.5,1,1,2,-0.5,4
6577305,4,20,24,0.5,1,2,2,-0.5,4
6577305,4,10,23,-0.5,1,1,2,0.5,4
6577305,4,10,24,0.5,1,2,2,0.5,4
6577347,5,19,24,-0.5,1,1,2,-0.5,5
6577347,5,18,24,0.5,1,2,2,-0.5,5
6577347,5,14,24,-0.5,1,1,2,0.5,5
6577347,5,12,24,0.5,1,2,2,0.5,5
6577318,6,15,21,-0.5,1,1,2,-0.5,6
6577318,6,11,23,0.5,1,2,2,-0.5,6
6577318,6,8,22,-0.5,1,1,2,0.5,6
6577318,6,12,21,0.5,1,2,2,0.5,6
6577341,7,11,22,-0.5,1,1,2,-0.5,7
6577341,7,14,24,0.5,1,2,2,-0.5,7
6577341,7,13,23,-0.5,1,1,2,0.5,7
6577341,7,12,22,0.5,1,2,2,0.5,7
6577931,8,20,24,-0.5,1,1,2,-0.5,8
6577931,8,19,24,0.5,1,2,2,-0.5,8
6577931,8,14,24,-0.5,1,1,2,0.5,8
6577931,8,10,24,0.5,1,2,2,0.5,8
6581413,9,11,24,-0.5,1,1,2,-0.5,9
6581413,9,15,24,0.5,1,2,2,-0.5,9
6581413,9,13,24,-0.5,1,1,2,0.5,9
6581413,9,12,24,0.5,1,2,2,0.5,9
6581458,10,15,24,-0.5,1,1,2,-0.5,10
6581458,10,23,24,0.5,1,2,2,-0.5,10
6581458,10,14,24,-0.5,1,1,2,0.5,10
6581458,10,19,23,0.5,1,2,2,0.5,10
6581420,11,16,24,-0.5,1,1,2,-0.5,11
6581420,11,15,24,0.5,1,2,2,-0.5,11
6581420,11,12,23,-0.5,1,1,2,0.5,11
6581420,11,13,23,0.5,1,2,2,0.5,11
6581460,12,12,24,-0.5,1,1,2,-0.5,12
6581460,12,12,24,0.5,1,2,2,-0.5,12
6581460,12,11,24,-0.5,1,1,2,0.5,12
6581460,12,10,24,0.5,1,2,2,0.5,12
6582994,13,10,23,-0.5,1,1,2,-0.5,13
6582994,13,17,24,0.5,1,2,2,-0.5,13
6582994,13,8,24,-0.5,1,1,2,0.5,13
6582994,13,10,24,0.5,1,2,2,0.5,13
6583086,14,15,24,-0.5,1,1,2,-0.5,14
6583086,14,14,24,0.5,1,2,2,-0.5,14
6583086,14,13,23,-0.5,1,1,2,0.5,14
6583086,14,14,24,0.5,1,2,2,0.5,14
6583665,15,13,24,-0.5,1,1,2,-0.5,15
6583665,15,15,24,0.5,1,2,2,-0.5,15
6583665,15,15,23,-0.5,1,1,2,0.5,15
6583665,15,10,23,0.5,1,2,2,0.5,15
6584793,16,22,24,-0.5,1,1,2,-0.5,16
6584793,16,15,24,0.5,1,2,2,-0.5,16
6584793,16,13,24,-0.5,1,1,2,0.5,16
6584793,16,12,23,0.5,1,2,2,0.5,16
6576572,17,22,23,-0.5,-1,1,1,-0.5,17
6576572,17,22,24,0.5,-1,2,1,-0.5,17
6576572,17,24,24,-0.5,-1,1,1,0.5,17
6576572,17,17,24,0.5,-1,2,1,0.5,17
6576602,18,20,24,-0.5,-1,1,1,-0.5,18
6576602,18,13,23,0.5,-1,2,1,-0.5,18
6576602,18,24,24,-0.5,-1,1,1,0.5,18
6576602,18,15,24,0.5,-1,2,1,0.5,18
6576557,19,19,24,-0.5,-1,1,1,-0.5,19
6576557,19,19,24,0.5,-1,2,1,-0.5,19
6576557,19,18,23,-0.5,-1,1,1,0.5,19
6576557,19,16,23,0.5,-1,2,1,0.5,19
6577303,20,8,23,-0.5,-1,1,1,-0.5,20
6577303,20,6,20,0.5,-1,2,1,-0.5,20
6577303,20,8,19,-0.5,-1,1,1,0.5,20
6577303,20,7,23,0.5,-1,2,1,0.5,20
6577336,21,19,24,-0.5,-1,1,1,-0.5,21
6577336,21,13,23,0.5,-1,2,1,-0.5,21
6577336,21,21,24,-0.5,-1,1,1,0.5,21
6577336,21,9,23,0.5,-1,2,1,0.5,21
6577321,22,16,21,-0.5,-1,1,1,-0.5,22
6577321,22,15,24,0.5,-1,2,1,-0.5,22
6577321,22,16,24,-0.5,-1,1,1,0.5,22
6577321,22,10,24,0.5,-1,2,1,0.5,22
6577408,23,24,24,-0.5,-1,1,1,-0.5,23
6577408,23,19,24,0.5,-1,2,1,-0.5,23
6577408,23,24,24,-0.5,-1,1,1,0.5,23
6577408,23,19,23,0.5,-1,2,1,0.5,23
6577794,24,18,23,-0.5,-1,1,1,-0.5,24
6577794,24,14,22,0.5,-1,2,1,-0.5,24
6577794,24,21,23,-0.5,-1,1,1,0.5,24
6577794,24,16,24,0.5,-1,2,1,0.5,24
6581415,25,19,24,-0.5,-1,1,1,-0.5,25
6581415,25,12,24,0.5,-1,2,1,-0.5,25
6581415,25,13,24,-0.5,-1,1,1,0.5,25
