SubID,subject,correct,total_trials,trial_type,condition,trial_type_non_rec,condition_non_rec,probe_type,sub_idx
6576573,1,7,18,-0.5,1,1,2,-0.5,1
6576573,1,8,17,0.5,1,2,2,-0.5,1
6576573,1,7,18,-0.5,1,1,2,0.5,1
6576573,1,12,18,0.5,1,2,2,0.5,1
6576620,2,7,17,-0.5,1,1,2,-0.5,2
6576620,2,6,18,0.5,1,2,2,-0.5,2
6576620,2,9,18,-0.5,1,1,2,0.5,2
6576620,2,12,18,0.5,1,2,2,0.5,2
6576601,3,6,17,-0.5,1,1,2,-0.5,3
6576601,3,11,17,0.5,1,2,2,-0.5,3
6576601,3,7,11,-0.5,1,1,2,0.5,3
6576601,3,10,16,0.5,1,2,2,0.5,3
6577305,4,18,18,-0.5,1,1,2,-0.5,4
6577305,4,13,18,0.5,1,2,2,-0.5,4
6577305,4,18,18,-0.5,1,1,2,0.5,4
6577305,4,5,18,0.5,1,2,2,0.5,4
6577347,5,14,18,-0.5,1,1,2,-0.5,5
6577347,5,12,18,0.5,1,2,2,-0.5,5
6577347,5,6,18,-0.5,1,1,2,0.5,5
6577347,5,9,18,0.5,1,2,2,0.5,5
6577318,6,9,18,-0.5,1,1,2,-0.5,6
6577318,6,9,18,0.5,1,2,2,-0.5,6
6577318,6,9,18,-0.5,1,1,2,0.5,6
6577318,6,6,18,0.5,1,2,2,0.5,6
6577341,7,15,18,-0.5,1,1,2,-0.5,7
6577341,7,11,18,0.5,1,2,2,-0.5,7
6577341,7,13,18,-0.5,1,1,2,0.5,7
6577341,7,12,18,0.5,1,2,2,0.5,7
6577931,8,17,18,-0.5,1,1,2,-0.5,8
6577931,8,16,18,0.5,1,2,2,-0.5,8
6577931,8,8,18,-0.5,1,1,2,0.5,8
6577931,8,15,18,0.5,1,2,2,0.5,8
6581413,9,10,17,-0.5,1,1,2,-0.5,9
6581413,9,9,18,0.5,1,2,2,-0.5,9
6581413,9,12,18,-0.5,1,1,2,0.5,9
6581413,9,7,18,0.5,1,2,2,0.5,9
6581458,10,12,18,-0.5,1,1,2,-0.5,10
6581458,10,15,18,0.5,1,2,2,-0.5,10
6581458,10,10,18,-0.5,1,1,2,0.5,10
6581458,10,17,18,0.5,1,2,2,0.5,10
6581420,11,13,18,-0.5,1,1,2,-0.5,11
6581420,11,13,18,0.5,1,2,2,-0.5,11
6581420,11,11,18,-0.5,1,1,2,0.5,11
6581420,11,12,18,0.5,1,2,2,0.5,11
6581460,12,15,18,-0.5,1,1,2,-0.5,12
6581460,12,11,18,0.5,1,2,2,-0.5,12
6581460,12,18,18,-0.5,1,1,2,0.5,12
6581460,12,11,18,0.5,1,2,2,0.5,12
6582994,13,9,18,-0.5,1,1,2,-0.5,13
6582994,13,11,18,0.5,1,2,2,-0.5,13
6582994,13,8,17,-0.5,1,1,2,0.5,13
6582994,13,8,18,0.5,1,2,2,0.5,13
6583086,14,17,18,-0.5,1,1,2,-0.5,14
6583086,14,17,18,0.5,1,2,2,-0.5,14
6583086,14,17,18,-0.5,1,1,2,0.5,14
6583086,14,17,18,0.5,1,2,2,0.5,14
6583665,15,14,16,-0.5,1,1,2,-0.5,15
6583665,15,14,17,0.5,1,2,2,-0.5,15
6583665,15,16,17,-0.5,1,1,2,0.5,15
6583665,15,16,18,0.5,1,2,2,0.5,15
6584793,16,15,18,-0.5,1,1,2,-0.5,16
6584793,16,18,18,0.5,1,2,2,-0.5,16
6584793,16,10,18,-0.5,1,1,2,0.5,16
6584793,16,9,18,0.5,1,2,2,0.5,16
6576572,17,18,18,-0.5,-1,1,1,-0.5,17
6576572,17,11,18,0.5,-1,2,1,-0.5,17
6576572,17,14,18,-0.5,-1,1,1,0.5,17
6576572,17,13,18,0.5,-1,2,1,0.5,17
6576602,18,14,18,-0.5,-1,1,1,-0.5,18
6576602,18,15,18,0.5,-1,2,1,-0.5,18
6576602,18,16,18,-0.5,-1,1,1,0.5,18
6576602,18,14,18,0.5,-1,2,1,0.5,18
6576557,19,16,18,-0.5,-1,1,1,-0.5,19
6576557,19,16,18,0.5,-1,2,1,-0.5,19
6576557,19,5,18,-0.5,-1,1,1,0.5,19
6576557,19,13,18,0.5,-1,2,1,0.5,19
6577303,20,11,16,-0.5,-1,1,1,-0.5,20
6577303,20,5,17,0.5,-1,2,1,-0.5,20
6577303,20,5,16,-0.5,-1,1,1,0.5,20
6577303,20,9,16,0.5,-1,2,1,0.5,20
6577336,21,18,18,-0.5,-1,1,1,-0.5,21
6577336,21,13,18,0.5,-1,2,1,-0.5,21
6577336,21,18,18,-0.5,-1,1,1,0.5,21
6577336,21,14,18,0.5,-1,2,1,0.5,21
6577321,22,17,18,-0.5,-1,1,1,-0.5,22
6577321,22,9,18,0.5,-1,2,1,-0.5,22
6577321,22,15,18,-0.5,-1,1,1,0.5,22
6577321,22,9,18,0.5,-1,2,1,0.5,22
6577408,23,10,16,-0.5,-1,1,1,-0.5,23
6577408,23,7,17,0.5,-1,2,1,-0.5,23
6577408,23,11,18,-0.5,-1,1,1,0.5,23
6577408,23,7,18,0.5,-1,2,1,0.5,23
6577794,24,10,18,-0.5,-1,1,1,-0.5,24
6577794,24,11,18,0.5,-1,2,1,-0.5,24
6577794,24,9,17,-0.5,-1,1,1,0.5,24
6577794,24,7,17,0.5,-1,2,1,0.5,24
6581415,25,11,18,-0.5,-1,1,1,-0.5,25
6581415,25,13,18,0.5,-1,2,1,-0.5,25
6581415,25,11,18,-0.5,-1,1,1,0.5,25
6581415,25,10,18,0.5,-1,2,1,0.5,25
6581480,26,17,18,-0.5,-1,1,1,-0.5,26
6581480,26,14,18,0.5,-1,2,1,-0.5,26
6581480,26,9,18,-0.5,-1,1,1,0.5,26
6581480,26,8,18,0.5,-1,2,1,0.5,26
6581581,27,13,18,-0.5,-1,1,1,-0.5,27
6581581,27,17,18,0.5,-1,2,1,-0.5,27
6581581,27,6,18,-0.5,-1,1,1,0.5,27
