SubID,subject,correct,total_trials,trial_type,condition,trial_type_non_rec,condition_non_rec,probe_type,phase,sub_idx
6576573,1,1,1,-0.5,1,1,2,-0.5,1,1
6576573,1,1,1,0.5,1,2,2,-0.5,1,1
6576573,1,1,1,-0.5,1,1,2,-0.5,2,1
6576573,1,1,1,0.5,1,2,2,-0.5,2,1
6576573,1,1,1,-0.5,1,1,2,0.5,1,1
6576573,1,1,1,0.5,1,2,2,0.5,1,1
6576573,1,1,1,-0.5,1,1,2,0.5,2,1
6576573,1,1,1,0.5,1,2,2,0.5,2,1
6576620,2,1,1,-0.5,1,1,2,-0.5,1,2
6576620,2,1,1,0.5,1,2,2,-0.5,1,2
6576620,2,0,1,-0.5,1,1,2,-0.5,2,2
6576620,2,1,1,0.5,1,2,2,-0.5,2,2
6576620,2,0,1,-0.5,1,1,2,0.5,1,2
6576620,2,0,1,0.5,1,2,2,0.5,1,2
6576620,2,1,1,-0.5,1,1,2,0.5,2,2
6576620,2,1,1,0.5,1,2,2,0.5,2,2
6577305,4,1,1,-0.5,1,1,2,-0.5,1,3
6577305,4,1,1,0.5,1,2,2,-0.5,1,3
6577305,4,1,1,-0.5,1,1,2,-0.5,2,3
6577305,4,0,1,0.5,1,2,2,-0.5,2,3
6577305,4,1,1,-0.5,1,1,2,0.5,1,3
6577305,4,0,1,0.5,1,2,2,0.5,1,3
6577305,4,1,1,-0.5,1,1,2,0.5,2,3
6577305,4,0,1,0.5,1,2,2,0.5,2,3
6577347,5,1,1,-0.5,1,1,2,-0.5,1,4
6577347,5,1,1,0.5,1,2,2,-0.5,1,4
6577347,5,1,1,-0.5,1,1,2,-0.5,2,4
6577347,5,0,1,0.5,1,2,2,-0.5,2,4
6577347,5,1,1,-0.5,1,1,2,0.5,1,4
6577347,5,1,1,0.5,1,2,2,0.5,1,4
6577347,5,0,1,-0.5,1,1,2,0.5,2,4
6577347,5,1,1,0.5,1,2,2,0.5,2,4
6577318,6,1,1,-0.5,1,1,2,-0.5,1,5
6577318,6,1,1,0.5,1,2,2,-0.5,1,5
6577318,6,1,1,-0.5,1,1,2,-0.5,2,5
6577318,6,1,1,0.5,1,2,2,-0.5,2,5
6577318,6,1,1,-0.5,1,1,2,0.5,1,5
6577318,6,1,1,0.5,1,2,2,0.5,1,5
6577318,6,0,1,-0.5,1,1,2,0.5,2,5
6577318,6,0,1,0.5,1,2,2,0.5,2,5
6577931,8,1,1,-0.5,1,1,2,-0.5,1,6
6577931,8,0,1,0.5,1,2,2,-0.5,1,6
6577931,8,1,1,-0.5,1,1,2,-0.5,2,6
6577931,8,0,1,0.5,1,2,2,-0.5,2,6
6577931,8,1,1,-0.5,1,1,2,0.5,1,6
6577931,8,0,1,0.5,1,2,2,0.5,1,6
6577931,8,1,1,-0.5,1,1,2,0.5,2,6
6577931,8,0,1,0.5,1,2,2,0.5,2,6
6581413,9,1,1,-0.5,1,1,2,-0.5,1,7
6581413,9,0,1,0.5,1,2,2,-0.5,1,7
6581413,9,0,1,-0.5,1,1,2,-0.5,2,7
6581413,9,0,1,0.5,1,2,2,-0.5,2,7
6581413,9,1,1,-0.5,1,1,2,0.5,1,7
6581413,9,1,1,0.5,1,2,2,0.5,1,7
6581413,9,0,1,-0.5,1,1,2,0.5,2,7
6581413,9,1,1,0.5,1,2,2,0.5,2,7
6581420,11,1,1,-0.5,1,1,2,-0.5,1,8
6581420,11,0,1,0.5,1,2,2,-0.5,1,8
6581420,11,0,1,-0.5,1,1,2,-0.5,2,8
6581420,11,0,1,0.5,1,2,2,-0.5,2,8
6581420,11,1,1,-0.5,1,1,2,0.5,1,8
6581420,11,1,1,0.5,1,2,2,0.5,1,8
6581420,11,1,1,-0.5,1,1,2,0.5,2,8
6581420,11,1,1,0.5,1,2,2,0.5,2,8
6581460,12,1,1,-0.5,1,1,2,-0.5,1,9
6581460,12,0,1,0.5,1,2,2,-0.5,1,9
6581460,12,1,1,-0.5,1,1,2,-0.5,2,9
6581460,12,1,1,0.5,1,2,2,-0.5,2,9
6581460,12,1,1,-0.5,1,1,2,0.5,1,9
6581460,12,1,1,0.5,1,2,2,0.5,1,9
6581460,12,1,1,-0.5,1,1,2,0.5,2,9
6581460,12,1,1,0.5,1,2,2,0.5,2,9
6582994,13,1,1,-0.5,1,1,2,-0.5,1,10
6582994,13,1,1,0.5,1,2,2,-0.5,1,10
6582994,13,0,1,-0.5,1,1,2,-0.5,2,10
6582994,13,1,1,0.5,1,2,2,-0.5,2,10
6582994,13,1,1,-0.5,1,1,2,0.5,1,10
6582994,13,0,1,0.5,1,2,2,0.5,1,10
6582994,13,1,1,-0.5,1,1,2,0.5,2,10
6582994,13,1,1,0.5,1,2,2,0.5,2,10
6583086,14,1,1,-0.5,1,1,2,-0.5,1,11
6583086,14,1,1,0.5,1,2,2,-0.5,1,11
6583086,14,1,1,-0.5,1,1,2,-0.5,2,11
6583086,14,0,1,0.5,1,2,2,-0.5,2,11
6583086,14,1,1,-0.5,1,1,2,0.5,1,11
6583086,14,1,1,0.5,1,2,2,0.5,1,11
6583086,14,1,1,-0.5,1,1,2,0.5,2,11
6583086,14,1,1,0.5,1,2,2,0.5,2,11
6583665,15,1,1,-0.5,1,1,2,-0.5,1,12
6583665,15,1,1,0.5,1,2,2,-0.5,1,12
