randomise_blocks,trial_number,display,Image,ITI_duration,Pause_duration,event,probeImageLeft,probeImageRight,correctAnswer,featureProbe,background
,0,instructionsExperiment,,0,0,,,,0,0,gray
,0,fixation,,0,0,,,,0,0,gray
,1,learningTrial,C_3_set2.png,0,0,finish,,,0,0,gray
,1,learningTrial,D_6_set2.png,0,0,finish,,,0,0,gray
,1,learningTrial,B_2_set2.png,0,0,finish,,,0,0,gray
,1,learningTrial,A_4_set2.png,0,0,finish,,,0,0,gray
,1,learningTrial,C_1_set2.png,0,0,finish,,,0,0,gray
,1,learningTrial,D_4_set2.png,0,0,finish,,,0,0,gray
,1,learningTrial,B_1_set2.png,0,0,finish,,,0,0,gray
,1,learningTrial,A_5_set2.png,0,0,finish,,,0,0,gray
,1,learningTrial,C_1_set2.png,0,0,finish,,,0,0,gray
,1,learningTrial,D_5_set2.png,0,0,finish,,,0,0,gray
,1,learningTrial,B_1_set2.png,0,0,finish,,,0,0,gray
,1,learningTrial,A_4_set2.png,0,0,finish,,,0,0,gray
,0,PreProbeInterval,,0,0,,,,0,0,gray
,1,probeTrial,C_3_set2.png,0,0,finish,D_6_set2.png,D_4_set2.png,1,2,gray
,0,IPI,,0,0,,,,0,0,gray
,101,inferenceTrial,D_1_set2.png,0,0,finish,B_4_set2.png,B_6_set2.png,1,2,gray
,0,ITI,,1150,0,,,,0,0,gray
,2,learningTrial,C_2_set2.png,0,0,finish,,,0,0,gray
,2,learningTrial,D_6_set2.png,0,0,finish,,,0,0,gray
,2,learningTrial,B_3_set2.png,0,0,finish,,,0,0,gray
,2,learningTrial,A_6_set2.png,0,0,finish,,,0,0,gray
,2,learningTrial,C_2_set2.png,0,0,finish,,,0,0,gray
,2,learningTrial,D_4_set2.png,0,0,finish,,,0,0,gray
,2,learningTrial,B_1_set2.png,0,0,finish,,,0,0,gray
,2,learningTrial,A_4_set2.png,0,0,finish,,,0,0,gray
,2,learningTrial,C_2_set2.png,0,0,finish,,,0,0,gray
,2,learningTrial,D_6_set2.png,0,0,finish,,,0,0,gray
,2,learningTrial,B_2_set2.png,0,0,finish,,,0,0,gray
,2,learningTrial,A_6_set2.png,0,0,finish,,,0,0,gray
,0,PreProbeInterval,,0,0,,,,0,0,gray
,2,probeTrial,D_6_set2.png,0,0,finish,B_1_set2.png,B_2_set2.png,2,2,gray
,0,IPI,,0,0,,,,0,0,gray
,102,inferenceTrial,D_2_set2.png,0,0,finish,B_4_set2.png,C_4_set2.png,1,1,gray
,0,ITI,,1900,0,,,,0,0,gray
,3,learningTrial,C_2_set2.png,0,0,finish,,,0,0,gray
,3,learningTrial,D_4_set2.png,0,0,finish,,,0,0,gray
,3,learningTrial,B_1_set2.png,0,0,finish,,,0,0,gray
,3,learningTrial,A_4_set2.png,0,0,finish,,,0,0,gray
,3,learningTrial,C_1_set2.png,0,0,finish,,,0,0,gray
,3,learningTrial,D_5_set2.png,0,0,finish,,,0,0,gray
,3,learningTrial,B_1_set2.png,0,0,finish,,,0,0,gray
,3,learningTrial,A_5_set2.png,0,0,finish,,,0,0,gray
,3,learningTrial,C_1_set2.png,0,0,finish,,,0,0,gray
,3,learningTrial,D_4_set2.png,0,0,finish,,,0,0,gray
,3,learningTrial,B_2_set2.png,0,0,finish,,,0,0,gray
,3,learningTrial,A_6_set2.png,0,0,finish,,,0,0,gray
,0,PreProbeInterval,,0,0,,,,0,0,gray
,3,probeTrial,A_6_set2.png,0,0,finish,C_2_set2.png,B_2_set2.png,1,1,gray
,0,IPI,,0,0,,,,0,0,gray
,103,inferenceTrial,B_6_set2.png,0,0,finish,A_3_set2.png,D_3_set2.png,1,1,gray
,0,ITI,,1750,0,,,,0,0,gray
,4,learningTrial,C_3_set2.png,0,0,finish,,,0,0,gray
